scheduler,jobs_measured,mean_wait,median_wait,p95_wait,max_wait,mean_bounded_slowdown,p95_bounded_slowdown,mean_turnaround,fairness_gini,gpu_util,preemptions,trace,window,capacity,jobs_total,jobs_dropped_oversized,offered_load
HRRN_USEREST,960,1067.0,0.0,5125.15,39138.0,3.2849144959855976,13.023070719602947,4360.142708333334,0.9210061268288555,0.7696837422272156,0,lanl,10,1024,1320,0,0.8008363353587963
SMALLEST_FIRST,960,1214.1708333333333,0.0,6141.099999999997,52148.0,3.3356202948295475,11.373333333333328,4507.313541666666,0.9322957435944512,0.7690267541773271,0,lanl,10,1024,1320,0,0.8008363353587963
EASY_USEREST,960,3829.539583333333,0.0,26304.299999999967,36704.0,17.345469163690463,73.13514525993881,7122.682291666667,0.8150823694491487,0.7536486817297083,0,lanl,10,1024,1320,0,0.8008363353587963
EASY_ORACLE,960,1395.603125,0.0,8015.1,28274.0,5.631641093936164,27.51706521739124,4688.745833333333,0.8442049685370995,0.7672113446328561,0,lanl,10,1024,1320,0,0.8008363353587963
CONS_BF_USEREST,960,3496.233333333333,0.0,19287.099999999988,33588.0,16.59846012529164,68.87409909909906,6789.376041666666,0.7985135217940896,0.7589025762250464,0,lanl,10,1024,1320,0,0.8008363353587963
SRPT_ORACLE,960,648.0666666666667,0.0,1614.0499999999936,86271.0,1.0509090012720743,1.1984814739825873,3941.209375,0.9687944799221188,0.7664442009118829,348,lanl,10,1024,1320,0,0.8008363353587963
PROACTIVE,960,1074.215625,0.0,4693.349999999998,35858.0,3.052867929873736,9.588466386554588,4367.358333333334,0.9274392182070186,0.7706215487996115,0,lanl,10,1024,1320,0,0.8008363353587963
PROACTIVE_EST,960,956.3333333333334,0.0,4258.999999999995,104314.0,2.8537090616346186,8.489244673539512,4249.476041666667,0.9352613175503951,0.7648122615221025,0,lanl,10,1024,1320,0,0.8008363353587963
FCFS,1434,15679.548814504882,3347.5,97837.74999999987,139107.0,49.031009311404546,199.3774603174601,18665.97140864714,0.7389744655837561,0.9050606735771114,0,lanl,11,1024,1971,0,0.958526294849537
FIFO_STRICT,1434,104206.09762900976,122945.5,146050.75,153349.0,726.959467730874,2278.0833333333335,107192.52022315202,0.1990309000257714,0.8213535907150189,0,lanl,11,1024,1971,0,0.958526294849537
SJF_ORACLE,1434,6783.997907949791,0.0,9783.149999999987,663889.0,4.142757948484619,14.496019973804815,9770.42050209205,0.9683352330560547,0.831932043177421,0,lanl,11,1024,1971,0,0.958526294849537
SJF_USEREST,1434,10144.589958158997,0.0,10526.399999999832,645293.0,9.738007680403108,32.398186063218255,13131.012552301256,0.9613814761159126,0.8346183183508521,0,lanl,11,1024,1971,0,0.958526294849537
